iter	RMSE
0	13629.6625
1	13530.10101
2	13439.48159
3	13346.42912
4	13315.95554
5	13214.86197
6	13164.01723
7	13080.79676
8	13024.43549
9	13004.00545
10	12935.2389
11	12917.70603
12	12851.78701
13	12833.56102
14	12804.04279
15	12752.60062
16	12684.75445
17	12641.78318
18	12624.42862
19	12573.38871
20	12545.97768
21	12508.10523
22	12472.83561
23	12444.83193
24	12420.97084
25	12384.5653
26	12328.41066
27	12282.45269
28	12244.86807
29	12208.82043
30	12194.38274
31	12160.02642
32	12139.99093
33	12098.32165
34	12067.01714
35	12033.21585
36	11999.5309
37	11976.76771
38	11953.27352
39	11906.79864
40	11881.17544
41	11852.19566
42	11816.8391
43	11794.08722
44	11768.10935
45	11753.36212
46	11731.37639
47	11704.48763
48	11675.70888
49	11641.89515
50	11626.6385
51	11609.06973
52	11589.41527
53	11566.26945
54	11549.23102
55	11527.07855
56	11494.36752
57	11473.61321
58	11454.31517
59	11432.05604
60	11416.58555
61	11397.13787
62	11367.36533
63	11343.93067
64	11333.53058
65	11315.32415
66	11292.79844
67	11272.49766
68	11249.17253
69	11224.23475
70	11204.74678
71	11181.01718
72	11165.21399
73	11141.32952
74	11116.55683
75	11101.44963
76	11075.345
77	11048.63203
78	11035.701
79	11026.49514
80	11008.02054
81	10991.11722
82	10983.03106
83	10966.66172
84	10952.73255
85	10936.73727
86	10914.77549
87	10900.40372
88	10889.108
89	10875.71357
90	10858.3737
91	10844.60961
92	10829.69197
93	10814.24769
94	10786.55925
95	10776.68336
96	10762.55029
97	10745.43222
98	10729.27169
99	10716.27975
100	10697.4642
101	10683.01951
102	10667.02521
103	10642.40393
104	10620.58543
105	10605.3672
106	10583.72241
107	10563.27432
108	10551.57313
109	10538.24303
110	10510.19877
111	10497.57354
112	10478.9123
113	10465.24405
114	10447.45544
115	10430.06576
116	10421.67724
117	10407.25341
118	10383.08802
119	10363.67898
120	10348.5061
121	10331.08919
122	10320.38237
123	10306.07035
124	10293.47207
125	10284.45938
126	10269.97187
127	10256.3427
128	10246.00698
129	10227.78686
130	10220.58325
131	10204.34051
132	10191.663
133	10173.39965
134	10157.71409
135	10142.07022
136	10126.3179
137	10111.85789
138	10092.16728
139	10075.98402
140	10063.74185
141	10045.56338
142	10026.38967
143	10010.78211
144	9997.61983
145	9979.167016
146	9971.000251
147	9955.742959
148	9936.435394
149	9925.76616
150	9906.833142
151	9887.247998
152	9869.929815
153	9860.976643
154	9842.592366
155	9825.834352
156	9813.372672
157	9796.254662
158	9777.596423
159	9761.433175
160	9739.451241
161	9730.030101
162	9718.865257
163	9709.63153
164	9697.279242
165	9680.727053
166	9662.919768
167	9651.220687
168	9630.164277
169	9616.20772
170	9602.49034
171	9586.827779
172	9568.216494
173	9547.685681
174	9531.787885
175	9517.322476
176	9497.311097
177	9478.384296
178	9460.570507
179	9442.964957
180	9432.160007
181	9415.617983
182	9401.322578
183	9390.227752
184	9374.420728
185	9357.564829
186	9342.945731
187	9326.114262
188	9311.427806
189	9296.840718
190	9280.893484
191	9257.669773
192	9239.525402
193	9224.847512
194	9207.484251
195	9193.968652
196	9180.056412
197	9162.322657
198	9148.151481
199	9134.148786
200	9125.601508
201	9115.62941
202	9103.685708
203	9087.604753
204	9068.766268
205	9048.205151
206	9034.853456
207	9018.792695
208	9005.724187
209	8987.469163
210	8971.658533
211	8948.562861
212	8933.556387
213	8918.468528
214	8905.547025
215	8888.99904
216	8870.291356
217	8862.738054
218	8850.7942
219	8843.911078
220	8836.951138
221	8824.118616
222	8811.742834
223	8795.490582
224	8783.536036
225	8774.529371
226	8761.299754
227	8756.866417
228	8739.20154
229	8721.284361
230	8712.983003
231	8694.292499
232	8687.640289
233	8674.273385
234	8665.731471
235	8649.120954
236	8640.294237
237	8630.057744
238	8616.114973
239	8604.558568
240	8594.939026
241	8586.845848
242	8578.197115
243	8563.792775
244	8546.984079
245	8536.743963
246	8525.946697
247	8513.354663
248	8497.749716
249	8488.186066
250	8469.244065
251	8458.799059
252	8445.217742
253	8439.086736
254	8424.375519
255	8415.844519
256	8406.130047
257	8398.355492
258	8387.511694
259	8369.08657
260	8356.386425
261	8342.338535
262	8328.234883
263	8321.005819
264	8308.828171
265	8304.713012
266	8291.263286
267	8273.96084
268	8267.455395
269	8255.752628
270	8242.145438
271	8233.35765
272	8219.058125
273	8203.721415
274	8194.773493
275	8179.707836
276	8165.371349
277	8147.44346
278	8136.278001
279	8129.865487
280	8116.461905
281	8102.011909
282	8092.939905
283	8085.245122
284	8072.059147
285	8060.221293
286	8045.59713
287	8035.452153
288	8021.804875
289	8008.118783
290	8002.274967
291	7988.709196
292	7977.033223
293	7967.030574
294	7952.516403
295	7937.102774
296	7923.046335
297	7909.813223
298	7902.785219
299	7892.573313
300	7880.933804
301	7874.028608
302	7867.834775
303	7854.242115
304	7840.247956
305	7824.218616
306	7811.132681
307	7797.955292
308	7787.828374
309	7776.508775
310	7773.724178
311	7763.046573
312	7748.989818
313	7743.678562
314	7731.163368
315	7726.653838
316	7716.727589
317	7704.632057
318	7688.890868
319	7676.841045
320	7664.061024
321	7654.834368
322	7646.505023
323	7637.20396
324	7630.015052
325	7620.247349
326	7605.243215
327	7599.274255
328	7585.163548
329	7578.10679
330	7568.705431
331	7558.205185
332	7552.711683
333	7539.256159
334	7527.889091
335	7517.884646
336	7512.719363
337	7500.388994
338	7487.88469
339	7475.054668
340	7468.211185
341	7451.493947
342	7440.029335
343	7429.073939
344	7416.642799
345	7403.500115
346	7391.206772
347	7378.737735
348	7370.132348
349	7360.660714
350	7350.025562
351	7339.514275
352	7330.295988
353	7319.973878
354	7315.392114
355	7307.054258
356	7297.240334
357	7287.178897
358	7277.81681
359	7266.350168
360	7255.192749
361	7250.236391
362	7241.89326
363	7226.640108
364	7219.933241
365	7212.619077
366	7199.807873
367	7189.743798
368	7177.843319
369	7173.779277
370	7163.434829
371	7152.132749
372	7138.50291
373	7128.570966
374	7116.668001
375	7110.531857
376	7097.440894
377	7086.387795
378	7078.522425
379	7067.081071
380	7057.354583
381	7045.957645
382	7039.114987
383	7027.259846
384	7017.526759
385	7014.01242
386	7005.006752
387	6992.102308
388	6984.700684
389	6969.456018
390	6960.274281
391	6950.47463
392	6940.149868
393	6933.312993
394	6923.88166
395	6909.445366
396	6902.10204
397	6899.45835
398	6890.189244
399	6876.597445
400	6867.273832
401	6856.926426
402	6847.528675
403	6837.53902
404	6829.429409
405	6823.869752
406	6813.107137
407	6806.933815
408	6796.740207
409	6784.226119
410	6773.728911
411	6763.330709
412	6755.392826
413	6749.851509
414	6742.725376
415	6734.545378
416	6723.254656
417	6715.588108
418	6703.887279
419	6694.994577
420	6684.375592
421	6670.57613
422	6657.485702
423	6647.505629
424	6638.730505
425	6629.16871
426	6626.433195
427	6620.40963
428	6607.935488
429	6598.905114
430	6589.502159
431	6581.523456
432	6575.451284
433	6566.236306
434	6557.459618
435	6546.645048
436	6537.122438
437	6526.80635
438	6518.248377
439	6512.763975
440	6504.53041
441	6497.311625
442	6486.963457
443	6483.246906
444	6476.532153
445	6467.274358
446	6455.29578
447	6446.670719
448	6441.398243
449	6432.105719
450	6421.802716
451	6410.501254
452	6399.195021
453	6392.333023
454	6381.8531
455	6376.180776
456	6368.865705
457	6361.404434
458	6349.68164
459	6342.145522
460	6332.437218
461	6320.116847
462	6306.139819
463	6297.019569
464	6283.839155
465	6273.475735
466	6268.96754
467	6262.401465
468	6254.177561
469	6246.252144
470	6236.060028
471	6227.589508
472	6217.460831
473	6213.248572
474	6205.427976
475	6194.234386
476	6181.533269
477	6172.439157
478	6165.561691
479	6160.578412
480	6151.031338
481	6143.092662
482	6137.201113
483	6130.145832
484	6122.723266
485	6110.820929
486	6101.546588
487	6094.137336
488	6089.418685
489	6083.718981
490	6079.697299
491	6072.44252
492	6062.832478
493	6056.782712
494	6048.306194
495	6040.424562
496	6034.070557
497	6027.460957
498	6019.506022
499	6014.348768
500	6008.381545
501	6000.230816
502	5993.250022
503	5982.982324
504	5975.693194
505	5966.032661
506	5958.973275
507	5950.337362
508	5940.682087
509	5931.522034
510	5919.073595
511	5911.721929
512	5901.528091
513	5891.960216
514	5882.66933
515	5874.054573
516	5867.514463
517	5863.264413
518	5857.993723
519	5852.390969
520	5844.816908
521	5841.723664
522	5838.133637
523	5830.746451
524	5821.89072
525	5809.404474
526	5800.862527
527	5793.114334
528	5782.878954
529	5775.670409
530	5766.404425
531	5758.270748
532	5749.916028
533	5743.443463
534	5736.499622
535	5732.316903
536	5725.221313
537	5714.576217
538	5707.958358
539	5699.977783
540	5692.172632
541	5684.306927
542	5679.189342
543	5671.28303
544	5665.523082
545	5657.194343
546	5648.860371
547	5643.436129
548	5634.393776
549	5625.45019
550	5617.56698
551	5612.899517
552	5605.529537
553	5598.483823
554	5594.800099
555	5590.698857
556	5585.572906
557	5582.445853
558	5575.641105
559	5569.964301
560	5562.355869
561	5555.815637
562	5548.301103
563	5540.557519
564	5533.853443
565	5525.577426
566	5520.043883
567	5514.139673
568	5506.700107
569	5504.211683
570	5497.579791
571	5490.578393
572	5482.115477
573	5476.654379
574	5471.654762
575	5467.388374
576	5462.476268
577	5454.763733
578	5449.84662
579	5443.667476
580	5437.126672
581	5426.272307
582	5419.761416
583	5410.35086
584	5402.66911
585	5397.201596
586	5393.652716
587	5386.8652
588	5382.759042
589	5375.099461
590	5368.844314
591	5360.663284
592	5352.840086
593	5347.447558
594	5341.792281
595	5334.95696
596	5330.77919
597	5323.990641
598	5316.591997
599	5309.031267
600	5305.981066
601	5299.191914
602	5289.559043
603	5282.540674
604	5276.925814
605	5272.111908
606	5267.098056
607	5261.922958
608	5254.186753
609	5245.898496
610	5236.901268
611	5231.652896
612	5226.22
613	5218.964248
614	5214.260479
615	5208.541576
616	5200.756948
617	5194.363318
618	5187.81306
619	5180.033034
620	5173.164146
621	5168.668805
622	5166.411039
623	5158.145446
624	5151.591493
625	5144.166283
626	5140.336352
627	5133.077669
628	5123.726471
629	5116.731666
630	5111.794162
631	5104.471746
632	5097.721648
633	5090.59731
634	5086.389283
635	5077.377217
636	5072.635813
637	5070.86303
638	5066.188867
639	5059.292376
640	5053.914209
641	5049.87125
642	5046.181595
643	5040.519804
644	5034.378485
645	5027.808844
646	5022.125697
647	5014.357924
648	5006.738071
649	5002.285832
650	4998.056844
651	4992.761331
652	4985.107287
653	4980.867263
654	4976.121502
655	4971.587345
656	4967.411572
657	4960.956314
658	4953.764536
659	4947.162864
660	4940.121662
661	4934.8524
662	4927.913846
663	4924.621006
664	4918.694706
665	4912.287719
666	4905.698892
667	4899.846038
668	4889.594655
669	4882.40392
670	4876.471935
671	4870.141925
672	4866.230785
673	4860.556986
674	4854.388122
675	4849.544029
676	4843.943719
677	4838.054139
678	4831.630724
679	4827.966831
680	4820.751106
681	4813.849187
682	4808.833574
683	4801.965315
684	4798.648971
685	4792.501345
686	4787.006534
687	4783.178253
688	4778.576272
689	4773.42136
690	4765.255079
691	4758.425151
692	4752.38332
693	4745.154557
694	4741.154293
695	4736.968816
696	4732.262493
697	4727.603952
698	4722.772756
699	4715.917711
700	4709.565123
701	4702.583102
702	4698.773529
703	4695.61689
704	4691.415021
705	4686.085183
706	4682.878163
707	4677.609373
708	4673.279664
709	4667.390136
710	4661.435476
711	4654.809626
712	4647.415686
713	4643.168329
714	4638.608338
715	4632.452467
716	4623.507408
717	4614.394896
718	4605.62041
719	4603.65302
720	4599.684702
721	4592.212661
722	4587.115673
723	4582.262205
724	4579.376478
725	4575.178587
726	4566.424182
727	4561.907305
728	4555.505777
729	4546.466089
730	4538.02362
731	4535.900496
732	4532.81034
733	4530.031653
734	4525.653798
735	4522.865227
736	4516.867919
737	4513.281293
738	4507.463833
739	4503.408058
740	4499.453403
741	4493.261219
742	4487.29175
743	4482.612555
744	4479.660202
745	4473.917851
746	4470.548142
747	4468.508981
748	4463.372918
749	4460.659519
750	4456.740824
751	4450.742244
752	4444.719173
753	4439.738969
754	4433.465375
755	4427.882535
756	4423.655735
757	4420.712757
758	4415.142677
759	4409.995657
760	4404.858069
761	4400.341963
762	4394.134878
763	4387.430485
764	4380.712672
765	4375.934812
766	4370.755726
767	4366.58572
768	4361.685444
769	4357.585031
770	4351.911217
771	4348.686555
772	4343.861616
773	4334.606846
774	4329.751683
775	4327.369142
776	4322.119264
777	4315.894168
778	4310.17126
779	4301.163073
780	4297.355696
781	4293.27561
782	4288.773557
783	4284.169876
784	4279.195902
785	4271.833286
786	4266.509506
787	4260.842167
788	4254.543655
789	4248.498323
790	4242.70921
791	4238.61958
792	4235.39977
793	4229.846499
794	4224.724212
795	4217.750003
796	4211.985777
797	4207.011343
798	4201.194053
799	4196.102112
800	4190.531125
801	4184.649099
802	4180.311753
803	4178.084677
804	4173.057322
805	4167.896248
806	4161.257902
807	4154.075291
808	4147.229317
809	4143.58994
810	4138.310374
811	4134.367366
812	4127.265557
813	4120.281003
814	4117.577348
815	4113.163603
816	4109.123113
817	4103.935603
818	4097.807998
819	4094.705735
820	4090.350786
821	4086.229312
822	4082.732898
823	4078.57091
824	4075.667161
825	4068.00216
826	4065.499379
827	4059.910409
828	4056.078457
829	4054.24466
830	4050.359197
831	4045.405169
832	4040.419773
833	4038.694188
834	4035.984454
835	4029.708581
836	4023.794055
837	4021.210143
838	4014.474293
839	4012.351793
840	4009.017991
841	4004.414198
842	3998.708913
843	3990.867901
844	3987.193536
845	3983.253905
846	3976.225936
847	3973.055754
848	3967.677797
849	3962.05875
850	3954.786762
851	3949.678459
852	3943.257937
853	3937.421
854	3932.254388
855	3927.338412
856	3924.598119
857	3919.426554
858	3914.075788
859	3909.310084
860	3905.026456
861	3900.197203
862	3897.996672
863	3893.357181
864	3888.948219
865	3887.330013
866	3881.832568
867	3878.645788
868	3875.565563
869	3873.629055
870	3868.370142
871	3861.380555
872	3855.252019
873	3851.335156
874	3847.48429
875	3842.931565
876	3840.270537
877	3836.842643
878	3833.259025
879	3831.212581
880	3826.582524
881	3821.172276
882	3816.139686
883	3809.841885
884	3804.37998
885	3801.391129
886	3796.187298
887	3791.922844
888	3787.364463
889	3780.89035
890	3775.17503
891	3772.880091
892	3768.169013
893	3763.942445
894	3759.410227
895	3756.307866
896	3751.98773
897	3749.535532
898	3744.745878
899	3742.682058
900	3739.93434
901	3735.467007
902	3730.984358
903	3726.678994
904	3722.741445
905	3719.876605
906	3716.217804
907	3712.823703
