iter	Passed	Remaining
0	1	1243
1	2	1133
2	3	1103
3	4	1088
4	5	1074
5	6	1062
6	7	1053
7	8	1048
8	9	1042
9	10	1038
10	11	1033
11	12	1031
12	13	1027
13	14	1026
14	15	1022
15	16	1020
16	17	1018
17	18	1015
18	19	1013
19	20	1011
20	21	1008
21	22	1008
22	23	1006
23	24	1004
24	25	1003
25	26	1002
26	27	1000
27	28	999
28	29	1001
29	31	1003
30	32	1003
31	33	1002
32	34	1001
33	35	1004
34	36	1008
35	37	1012
36	39	1015
37	40	1016
38	41	1017
39	42	1018
40	43	1019
41	44	1019
42	45	1017
43	46	1017
44	47	1017
45	49	1016
46	50	1016
47	51	1017
48	52	1015
49	53	1014
50	54	1014
51	55	1013
52	56	1012
53	57	1010
54	58	1011
55	59	1009
56	60	1007
57	61	1005
58	62	1003
59	63	1002
60	65	1000
61	66	999
62	67	997
63	68	995
64	69	994
65	70	993
66	71	992
67	72	990
68	73	989
69	74	987
70	75	986
71	76	984
72	77	983
73	78	981
74	79	980
75	80	978
76	81	977
77	82	975
78	83	974
79	84	972
80	85	971
81	86	970
82	87	968
83	88	967
84	89	965
85	90	964
86	91	963
87	92	962
88	93	960
89	94	959
90	96	959
91	97	958
92	98	957
93	99	957
94	100	956
95	101	955
96	102	954
97	103	952
98	104	952
99	105	951
100	106	950
101	108	951
102	109	950
103	110	950
104	111	949
105	112	948
106	113	947
107	114	947
108	115	946
109	116	944
110	117	944
111	119	943
112	120	942
113	121	941
114	122	940
115	123	939
116	124	937
117	125	936
118	126	935
119	127	933
120	128	932
121	129	931
122	130	930
123	131	928
124	132	927
125	133	926
126	134	924
127	135	923
128	136	922
129	137	921
130	138	917
131	139	916
132	140	914
133	141	913
134	142	912
135	143	911
136	144	910
137	145	909
138	146	907
139	147	906
140	148	905
141	149	904
142	150	903
143	151	901
144	152	900
145	153	899
146	154	898
147	155	897
148	157	897
149	158	896
150	159	895
151	160	894
152	161	893
153	162	892
154	163	891
155	164	889
156	165	889
157	166	887
158	167	887
159	168	885
160	169	884
161	170	883
162	171	882
163	172	881
164	174	880
165	175	879
166	176	879
167	177	877
168	178	876
169	179	876
170	180	875
171	181	874
172	182	873
173	183	873
174	185	872
175	186	871
176	187	870
177	188	870
178	189	868
179	190	868
180	191	867
181	192	866
182	193	865
183	194	864
184	195	863
185	197	862
186	198	861
187	199	860
188	200	859
189	201	858
190	202	857
191	203	856
192	204	855
193	205	854
194	206	853
195	207	852
196	208	851
197	209	850
198	210	848
199	211	847
200	212	846
201	214	845
202	215	844
203	216	843
204	217	841
205	218	840
206	219	839
207	220	838
208	221	837
209	222	835
210	223	834
211	224	833
212	225	832
213	226	831
214	227	830
215	228	829
216	229	828
217	230	827
218	231	825
219	232	824
220	233	823
221	234	822
222	235	821
223	236	820
224	237	819
225	238	818
226	239	816
227	240	815
228	241	814
229	242	813
230	244	812
231	245	811
232	246	810
233	247	809
234	248	808
235	249	807
236	250	806
237	251	806
238	252	805
239	254	804
240	255	803
241	256	802
242	257	801
243	258	801
244	259	800
245	260	799
246	261	798
247	263	797
248	264	796
249	265	795
250	266	794
251	267	793
252	268	792
253	269	792
254	270	791
255	271	790
256	273	789
257	274	788
258	275	787
259	276	785
260	277	784
261	278	783
262	279	782
263	280	781
264	281	780
265	282	779
266	283	777
267	284	776
268	285	775
269	286	774
270	287	773
271	288	772
272	289	771
273	290	770
274	291	768
275	292	767
276	293	766
277	294	765
278	295	764
279	296	763
280	297	762
281	298	761
282	299	759
283	300	758
284	302	757
285	303	756
286	304	755
287	305	754
288	306	754
289	307	753
290	308	751
291	309	750
292	310	749
293	311	749
294	313	748
295	314	747
296	315	746
297	316	745
298	317	744
299	318	743
300	319	742
301	320	741
302	321	740
303	322	739
304	323	738
305	324	737
306	326	736
307	327	735
308	328	734
309	329	732
310	330	731
311	331	730
312	332	729
313	333	728
314	334	728
315	335	727
316	337	726
317	338	725
318	339	724
319	340	723
320	341	722
321	342	721
322	343	720
323	344	719
324	345	718
325	346	717
326	347	715
327	348	714
328	349	713
329	350	712
330	351	711
331	353	710
332	354	709
333	355	708
334	356	707
335	357	705
336	358	704
337	359	703
338	360	702
339	361	701
340	362	700
341	363	699
342	364	698
343	365	697
344	366	696
345	367	695
346	368	694
347	370	693
348	371	692
349	372	690
350	373	689
351	374	688
352	375	687
353	376	686
354	377	685
355	378	684
356	379	683
357	380	682
358	381	680
359	382	679
360	383	678
361	384	677
362	385	676
363	386	675
364	387	674
365	388	673
366	389	672
367	390	671
368	391	669
369	392	668
370	393	667
371	394	666
372	396	665
373	397	664
374	398	663
375	399	662
376	400	661
377	401	660
378	402	659
379	403	658
380	404	657
381	405	656
382	407	655
383	408	654
384	409	653
385	410	652
386	411	651
387	412	650
388	413	649
389	414	649
390	416	648
391	417	646
392	418	645
393	419	644
394	420	643
395	421	642
396	422	641
397	423	640
398	424	639
399	425	638
400	426	637
401	427	635
402	428	634
403	429	633
404	430	632
405	431	631
406	432	630
407	433	629
408	434	628
409	435	627
410	436	625
411	437	624
412	438	623
413	439	622
414	440	621
415	441	620
416	442	619
417	443	618
418	444	617
419	446	615
420	447	614
421	448	613
422	449	612
423	450	611
424	451	610
425	452	609
426	453	608
427	454	607
428	455	606
429	456	605
430	457	604
431	458	603
432	459	602
433	461	601
434	462	600
435	463	599
436	464	598
437	465	597
438	466	596
439	467	595
440	468	594
441	469	593
442	470	592
443	471	590
444	472	589
445	473	588
446	475	587
447	476	586
448	477	585
449	478	584
450	479	583
451	480	582
452	481	581
453	482	580
454	484	579
455	485	578
456	486	577
457	487	576
458	488	575
459	489	574
460	490	573
461	491	572
462	492	571
463	494	570
464	495	569
465	496	568
466	497	567
467	498	566
468	499	565
469	500	564
470	501	563
471	502	561
472	503	560
473	504	559
474	505	558
475	506	557
476	507	556
477	508	555
478	509	554
479	510	553
480	511	552
481	512	551
482	513	550
483	514	549
484	516	547
485	517	546
486	518	545
487	519	544
488	520	543
489	521	542
490	522	541
491	523	540
492	524	539
493	525	538
494	526	537
495	527	536
496	528	534
497	529	533
498	530	532
499	531	531
500	532	530
501	533	529
502	535	528
503	536	527
504	537	526
505	538	525
506	539	524
507	540	523
508	541	522
509	542	521
510	543	520
511	545	519
512	546	518
513	547	517
514	548	516
515	549	515
516	550	514
517	551	513
518	552	512
519	553	511
520	555	510
521	556	509
522	557	508
523	558	507
524	559	506
525	560	504
526	561	503
527	562	502
528	563	501
529	564	500
530	565	499
531	566	498
532	567	497
533	569	496
534	570	495
535	571	494
536	572	493
537	573	492
538	574	491
539	575	490
540	576	489
541	577	488
542	578	487
543	579	486
544	580	484
545	581	483
546	582	482
547	583	481
548	584	480
549	586	479
550	587	478
551	588	477
552	589	476
553	590	475
554	591	474
555	592	472
556	593	471
557	594	470
558	595	469
559	596	468
560	597	467
561	598	466
562	599	465
563	600	464
564	601	463
565	602	462
566	603	461
567	604	459
568	605	458
569	606	457
570	607	456
571	608	455
572	609	454
573	610	453
574	611	452
575	613	451
576	614	450
577	615	449
578	616	448
579	617	447
580	618	446
581	619	445
582	620	444
583	621	442
584	622	441
585	623	440
586	625	439
587	626	438
588	627	437
589	628	436
590	629	435
591	630	434
592	631	433
593	633	432
594	634	431
595	635	430
596	636	429
597	637	428
598	638	427
599	639	426
600	640	425
601	641	424
602	642	423
603	643	422
604	644	420
605	645	419
606	646	418
607	647	417
608	648	416
609	649	415
610	650	414
611	652	413
612	653	412
613	654	411
614	655	410
615	656	408
616	657	407
617	658	406
618	659	405
619	660	404
620	661	403
621	662	402
622	663	401
623	664	400
624	665	399
625	666	398
626	667	397
627	668	396
628	669	394
629	670	393
630	671	392
631	672	391
632	673	390
633	674	389
634	675	388
635	677	387
636	678	386
637	679	385
638	680	384
639	681	383
640	682	382
641	683	381
642	684	380
643	685	378
644	686	377
645	687	376
646	688	375
647	689	374
648	690	373
649	691	372
650	693	371
651	694	370
652	695	369
653	696	368
654	697	367
655	698	366
656	699	365
657	700	364
658	701	363
659	703	362
660	704	361
661	705	360
662	706	359
663	707	357
664	708	356
665	709	355
666	710	354
667	711	353
668	712	352
669	713	351
670	714	350
671	715	349
672	716	348
673	718	347
674	719	346
675	720	345
676	721	344
677	722	343
678	723	341
679	724	340
680	725	339
681	726	338
682	727	337
683	728	336
684	729	335
685	730	334
686	731	333
687	732	332
688	733	331
689	734	330
690	735	329
691	736	327
692	737	326
693	738	325
694	739	324
695	740	323
696	742	322
697	743	321
698	744	320
699	745	319
700	746	318
701	747	317
702	748	316
703	749	315
704	750	313
705	751	312
706	752	311
707	753	310
708	754	309
709	755	308
710	756	307
711	757	306
712	758	305
713	759	304
714	760	303
715	761	302
716	762	301
717	763	300
718	764	298
719	766	297
720	767	296
721	768	295
722	769	294
723	770	293
724	771	292
725	772	291
726	773	290
727	774	289
728	775	288
729	776	287
730	778	286
731	779	285
732	780	284
733	781	283
734	782	282
735	783	281
736	784	280
737	785	278
738	786	277
739	787	276
740	789	275
741	790	274
742	791	273
743	792	272
744	793	271
745	794	270
746	795	269
747	796	268
748	797	267
749	798	266
750	799	265
751	800	264
752	801	263
753	802	261
754	804	260
755	805	259
756	806	258
757	807	257
758	808	256
759	809	255
760	810	254
761	811	253
762	812	252
763	813	251
764	814	250
765	815	249
766	816	248
767	817	246
768	818	245
769	819	244
770	820	243
771	821	242
772	822	241
773	823	240
774	824	239
775	825	238
776	826	237
777	827	236
778	828	235
779	829	234
780	830	233
781	832	231
782	833	230
783	834	229
784	835	228
785	836	227
786	837	226
787	838	225
788	839	224
789	840	223
790	841	222
791	842	221
792	843	220
793	845	219
794	846	218
795	847	217
796	848	216
797	849	215
798	850	213
799	851	212
800	852	211
801	854	210
802	855	209
803	856	208
804	857	207
805	858	206
806	859	205
807	860	204
808	861	203
809	862	202
810	863	201
811	864	200
812	865	199
813	866	198
814	867	197
815	868	195
816	869	194
817	871	193
818	871	192
819	873	191
820	874	190
821	875	189
822	876	188
823	877	187
824	878	186
825	879	185
826	880	184
827	881	183
828	882	182
829	883	180
830	884	179
831	885	178
832	886	177
833	888	176
834	889	175
835	890	174
836	891	173
837	892	172
838	893	171
839	894	170
840	895	169
841	896	168
842	897	167
843	898	166
844	899	164
845	900	163
846	901	162
847	902	161
848	903	160
849	904	159
850	905	158
851	906	157
852	907	156
853	908	155
854	909	154
855	911	153
856	912	152
857	913	151
858	914	150
859	915	148
860	916	147
861	917	146
862	918	145
863	919	144
864	920	143
865	921	142
866	922	141
867	924	140
868	925	139
869	926	138
870	927	137
871	928	136
872	929	135
873	930	134
874	931	133
875	933	132
876	934	131
877	935	129
878	936	128
879	937	127
880	938	126
881	939	125
882	940	124
883	941	123
884	942	122
885	943	121
886	944	120
887	945	119
888	946	118
889	947	117
890	948	116
891	949	114
892	950	113
893	951	112
894	952	111
895	953	110
896	954	109
897	956	108
898	957	107
899	958	106
900	959	105
901	960	104
902	961	103
903	962	102
904	963	101
905	964	100
906	965	98
907	966	97
908	967	96
909	968	95
910	969	94
911	970	93
912	971	92
913	972	91
914	973	90
915	974	89
916	975	88
917	976	87
918	977	86
919	978	85
920	979	84
921	980	82
922	982	81
923	983	80
924	984	79
925	985	78
926	986	77
927	987	76
928	988	75
929	989	74
930	990	73
931	991	72
932	993	71
933	994	70
934	995	69
935	996	68
936	997	67
937	998	66
938	999	64
939	1001	63
940	1002	62
941	1003	61
942	1004	60
943	1005	59
944	1006	58
945	1007	57
946	1008	56
947	1010	55
948	1011	54
949	1012	53
950	1013	52
951	1014	51
952	1015	50
953	1016	49
954	1017	47
955	1018	46
956	1019	45
957	1020	44
958	1021	43
959	1022	42
960	1023	41
961	1024	40
962	1025	39
963	1026	38
964	1027	37
965	1028	36
966	1030	35
967	1031	34
968	1032	33
969	1033	31
970	1034	30
971	1035	29
972	1036	28
973	1037	27
974	1038	26
975	1039	25
976	1040	24
977	1041	23
978	1042	22
979	1043	21
980	1044	20
981	1045	19
982	1046	18
983	1047	17
984	1048	15
985	1049	14
986	1050	13
987	1051	12
988	1052	11
989	1053	10
990	1055	9
991	1056	8
992	1057	7
993	1058	6
994	1059	5
995	1060	4
996	1061	3
997	1062	2
998	1063	1
999	1065	0
